system:index,gain_ha,gain_m2,.geo
0000000000000000000a,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.03324840908267,18.83849795361159],[73.03324840908267,18.838752202595288],[73.03299861893522,18.838752153110594],[73.03299861893522,18.838497992079887],[73.03324840908267,18.83849795361159]]]}"
0000000000000000000b,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.03274891859957,18.838752199315714],[73.03274891859957,18.83900188746646],[73.03249921799639,18.83900184531175],[73.03249921799639,18.83875215740722],[73.03274891859957,18.838752199315714]]]}"
0000000000000000000c,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.09250088801,18.83875217591935],[73.09275061396221,18.838752127359648],[73.09275061396221,18.839251621951252],[73.09250088801,18.839251582297337],[73.09250088801,18.839001835158076],[73.09225116178662,18.83900188306108],[73.09225116178662,18.838752136344862],[73.09250088801,18.83875217591935]]]}"
0000000000000000000d,0.002067395761527267,20.67395761527267,"{""type"":""Polygon"",""coordinates"":[[[73.07949819389223,18.839751004875787],[73.07949819389223,18.840000739767518],[73.07899871297893,18.840000702635532],[73.07899871297894,18.83975096823496],[73.07949819389223,18.839751004875787]]]}"
0000000000000000000e,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.03274891859957,18.840000729549487],[73.03274891859957,18.840250418589005],[73.03249921799639,18.840250375203095],[73.03249921799639,18.840000686409805],[73.03274891859957,18.840000729549487]]]}"
0000000000000000000f,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.03249921799639,18.840250375203095],[73.03249921799639,18.840749841025346],[73.03224951712565,18.840749796735523],[73.03224951712565,18.84025041910818],[73.03249921799639,18.840250375203095]]]}"
00000000000000000010,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.1784990889023,18.840000666547006],[73.1784990889023,18.84025041093056],[73.17874881063429,18.8402504060277],[73.17874881063429,18.840999553221973],[73.17899853208999,18.840999548640028],[73.17899853208999,18.84124929422126],[73.1792482532694,18.841249289472206],[73.1792482532694,18.841998352505218],[73.17874881063429,18.841998360128272],[73.17874881063429,18.841748702012392],[73.1784990889023,18.841748705451135],[73.1784990889023,18.84124921473287],[73.17824945691645,18.841249226567125],[73.17824945691645,18.840000679600884],[73.1784990889023,18.840000666547006]]]}"
00000000000000000011,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.09550190418203,18.84099954765868],[73.09550190418203,18.841249299167277],[73.0949980452727,18.841249253309165],[73.0949980452727,18.840999590019823],[73.09550190418203,18.84099954765868]]]}"
00000000000000000012,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.09575162687463,18.841249248116206],[73.09575162687463,18.84149900004767],[73.09550190418203,18.841498963128917],[73.09550190418203,18.841249299167277],[73.09575162687463,18.841249248116206]]]}"
00000000000000000013,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.09625098139098,18.841498976561773],[73.09625098139098,18.84224805944307],[73.09600125924098,18.842248110335944],[73.09600125924098,18.841498940465584],[73.09625098139098,18.841498976561773]]]}"
00000000000000000014,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.94300064760031,18.845249117400456],[72.94300064760031,18.845498809132394],[72.94275094189304,18.845498796417207],[72.94275094189304,18.845249104932826],[72.94300064760031,18.845249117400456]]]}"
00000000000000000015,0.23703879670685415,2370.3879670685415,"{""type"":""Polygon"",""coordinates"":[[[72.97924862054072,18.845998236014772],[72.97924862054072,18.84825000478869],[72.97874919519569,18.848250084614463],[72.97874919519569,18.84599823260983],[72.97924862054072,18.845998236014772]]]}"
00000000000000000016,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.96100201613898,18.852000170745427],[72.96100201613898,18.85224988511008],[72.960498136981,18.852249833742135],[72.960498136981,18.85200011987652],[72.96100201613898,18.852000170745427]]]}"
00000000000000000017,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.96575097045415,18.852499531946325],[72.96575097045415,18.852749251367495],[72.96500183428735,18.852749294561285],[72.96500183428735,18.852499575881758],[72.96575097045415,18.852499531946325]]]}"
00000000000000000018,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.96600065194757,18.852749321014155],[72.96600065194757,18.852998953177167],[72.96575097045415,18.852998970965817],[72.96575097045415,18.852749251367495],[72.96600065194757,18.852749321014155]]]}"
00000000000000000019,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.96724923567061,18.853248683880835],[72.96724923567061,18.853498405316685],[72.96699946539044,18.853498416228664],[72.96699946539044,18.85324869504006],[72.96724923567061,18.853248683880835]]]}"
0000000000000000001a,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.96774859523056,18.855999978610146],[72.96774859523056,18.856499338864687],[72.9674989155824,18.856499356072195],[72.9674989155824,18.85599999631186],[72.96774859523056,18.855999978610146]]]}"
0000000000000000001b,0.01336290304744945,133.6290304744945,"{""type"":""Polygon"",""coordinates"":[[[72.9674989155824,18.856749080059714],[72.9674989155824,18.856998804224162],[72.96724923567061,18.856998820525487],[72.96724923567061,18.856749096608183],[72.9674989155824,18.856749080059714]]]}"
0000000000000000001c,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.96799836471948,18.856998778828363],[72.96799836471948,18.857498228676757],[72.96774859523056,18.857498236864863],[72.96774859523056,18.85699878751093],[72.96799836471948,18.856998778828363]]]}"
0000000000000000001d,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.97449975723988,18.859500375418182],[72.97449975723988,18.85975010845954],[72.97424999462338,18.859750037461023],[72.97424999462338,18.85950039235389],[72.97449975723988,18.859500375418182]]]}"
