system:index,water_area_ha,water_area_m2,year,.geo
0_0000000000000000001a,0.14699253079283472,1469.9253079283471,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.96774859523056,18.855999978610146],[72.96774859523056,18.856499338864687],[72.9674989155824,18.856499356072195],[72.9674989155824,18.85599999631186],[72.96774859523056,18.855999978610146]]]}"
0_0000000000000000001b,0.058028993805530026,580.2899380553002,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.9674989155824,18.856749080059714],[72.9674989155824,18.856998804224162],[72.96724923567061,18.856998820525487],[72.96724923567061,18.856749096608183],[72.9674989155824,18.856749080059714]]]}"
0_0000000000000000001c,0.14713933224846337,1471.3933224846337,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.96799836471948,18.856998778828363],[72.96799836471948,18.857498228676757],[72.96774859523056,18.857498236864863],[72.96774859523056,18.85699878751093],[72.96799836471948,18.856998778828363]]]}"
0_0000000000000000001d,0.0,0.0,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.97449975723988,18.859500375418182],[72.97449975723988,18.85975010845954],[72.97424999462338,18.859750037461023],[72.97424999462338,18.85950039235389],[72.97449975723988,18.859500375418182]]]}"
0_0000000000000000001e,0.19551335111131857,1955.1335111131857,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.09700014621278,18.84249783361391],[73.09700014621278,18.842751973927985],[73.09625098139098,18.842751952140333],[73.09625098139098,18.842497812575093],[73.09700014621278,18.84249783361391]]]}"
0_0000000000000000001f,0.05127553577497894,512.7553577497894,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.13000194357058,18.850501884484487],[73.13000194357058,18.851001293404643],[73.12974775614647,18.851001324805495],[73.12974775614647,18.850501916383497],[73.13000194357058,18.850501884484487]]]}"
0_00000000000000000020,0.058723682107364436,587.2368210736444,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.03274891859957,18.876248712683964],[73.03274891859957,18.876498427368514],[73.03249921799639,18.876498435953742],[73.03249921799639,18.876248721515317],[73.03274891859957,18.876248712683964]]]}"
0_00000000000000000021,0.07193241030823952,719.3241030823951,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.00649826676234,18.888248201717296],[73.00649826676234,18.888497898931284],[73.00624853811412,18.88849785233722],[73.00624853811412,18.888248155369787],[73.00649826676234,18.888248201717296]]]}"
0_00000000000000000022,0.07739379167444566,773.9379167444565,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.0277502615671,18.890250291674686],[73.0277502615671,18.890500011255945],[73.02725084938798,18.890499983904046],[73.02725084938798,18.890250352528213],[73.0277502615671,18.890250291674686]]]}"
0_00000000000000000023,0.8798583260809206,8798.583260809206,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.00700213764418,18.889750929734387],[73.00700213764418,18.891498912460094],[73.00725177540018,18.891498864632428],[73.00725177540018,18.89199826527542],[73.00700213764418,18.89199831261035],[73.00700213764418,18.89174861244785],[73.006747905055,18.891748580307823],[73.00649826676234,18.891748539350683],[73.00649826676234,18.889750948322405],[73.00700213764418,18.889750929734387]]]}"
0_00000000000000000024,0.5109001489138137,5109.001489138137,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.0685020688275,18.890749760584875],[73.0685020688275,18.890999432917695],[73.06875173070526,18.890999466900084],[73.0690014823789,18.890999421141426],[73.0690014823789,18.891498855040712],[73.0685020688275,18.89149886583477],[73.0685020688275,18.891249193152674],[73.06824781332642,18.89124916878988],[73.06824781332642,18.890999408804998],[73.06799815090456,18.89099946171813],[73.06799815090456,18.890749702153517],[73.0685020688275,18.890749760584875]]]}"
0_00000000000000000025,0.07514203566607307,751.4203566607307,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.0712488750402,18.891249158737683],[73.0712488750402,18.891498834120256],[73.07099912579494,18.89149888309977],[73.07099912579494,18.89124912023428],[73.0712488750402,18.891249158737683]]]}"
0_00000000000000000026,0.07381339572083714,738.1339572083715,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.00199896620016,18.89124911733738],[73.00199896620016,18.89149889991573],[73.00174932285269,18.891498851363007],[73.00174932285269,18.891249156735714],[73.00199896620016,18.89124911733738]]]}"
0_00000000000000000027,0.2768357234820197,2768.357234820197,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.00700213764418,18.89199831261035],[73.00700213764418,18.89250218649456],[73.00649826676234,18.89250219960266],[73.00649826676234,18.891998326722042],[73.00700213764418,18.89199831261035]]]}"
0_00000000000000000028,0.06356332217945772,635.6332217945771,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.9620008506784,18.86424928293819],[72.9620008506784,18.86449900696689],[72.96150147898877,18.864499006166188],[72.96150147898877,18.86424928263194],[72.9620008506784,18.86424928293819]]]}"
0_00000000000000000029,0.639282615482106,6392.826154821059,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.96125170264207,18.865751999984244],[72.96125170264207,18.86449899669854],[72.96150147898877,18.864499006166188],[72.96150147898877,18.866251460061484],[72.96125170264207,18.866251448858183],[72.96125170264207,18.86650117355975],[72.96100201613898,18.866501170146876],[72.96100201613898,18.865751997313087],[72.96125170264207,18.865751999984244]]]}"
0_0000000000000000002a,0.05809976368623621,580.9976368623621,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.99074871581124,18.86575198937192],[72.99074871581124,18.86600174290334],[72.99049897041405,18.86600169253363],[72.99049897041405,18.86575202694335],[72.99074871581124,18.86575198937192]]]}"
0_0000000000000000002b,0.03816713458491307,381.67134584913066,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.99099837084765,18.86600169673341],[72.99099837084765,18.866251450687955],[72.99074871581124,18.86625140891669],[72.99074871581124,18.86600174290334],[72.99099837084765,18.86600169673341]]]}"
